Rank,Population Density ▼,City / Population,,,,
100,"1,303.4/sq mi","Mcrae, GA / 5,762",,,,
101,"1,299.5/sq mi","Savannah, GA / 141,298",,,,
102,"1,297.8/sq mi","Tifton, GA / 16,589",,,,
103,"1,279.6/sq mi","Santa Claus, GA / 237",,,,
104,"1,272.6/sq mi","Canton, GA / 23,841",,,,
105,"1,258.8/sq mi","Fort Valley, GA / 9,448",,,,
106,"1,253.5/sq mi","Hampton, GA / 7,092",,,,
107,"1,248.4/sq mi","Folkston, GA / 5,233",,,,
108,"1,234.3/sq mi","Ty Ty, GA / 986",,,,
109,"1,229.9/sq mi","Thomasville, GA / 18,558",,,,
110,"1,227.0/sq mi","Evans, GA / 32,591",,,,
111,"1,219.6/sq mi","Cuthbert, GA / 3,731",,,,
112,"1,211.2/sq mi","Chickamauga, GA / 3,125",,,,
113,"1,202.9/sq mi","Waycross, GA / 14,363",,,,
114,"1,199.8/sq mi","Lithia Springs, GA / 16,384",,,,
115,"1,195.5/sq mi","Claxton, GA / 2,096",,,,
116,"1,184.9/sq mi","Dawson, GA / 4,447",,,,
117,"1,160.5/sq mi","Austell, GA / 6,944",,,,
118,"1,150.2/sq mi","Sparta, GA / 2,103",,,,
119,"1,141.3/sq mi","Auburn, GA / 7,388",,,,
120,"1,141.1/sq mi","Rome, GA / 36,099",,,,
121,"1,121.3/sq mi","Winder, GA / 14,495",,,,
122,"1,119.1/sq mi","Cedartown, GA / 9,760",,,,
123,"1,109.2/sq mi","Russell, GA / 1,318",,,,
124,"1,106.8/sq mi","Summerville, GA / 4,442",,,,
125,"1,101.2/sq mi","Carrollton, GA / 25,138",,,,
126,"1,095.7/sq mi","Ludowici, GA / 2,563",,,,
127,"1,095.3/sq mi","Hawkinsville, GA / 5,588",,,,
128,"1,093.1/sq mi","Cordele, GA / 11,177",,,,
129,"1,084.4/sq mi","Barnesville, GA / 6,617",,,,
130,"1,081.8/sq mi","Hahira, GA / 2,804",,,,
131,"1,080.0/sq mi","Lakeland, GA / 3,385",,,,
132,"1,074.1/sq mi","Walthourville, GA / 4,142",,,,
133,"1,072.8/sq mi","Whitemarsh Island, GA / 7,139",,,,
134,"1,064.1/sq mi","Waynesboro, GA / 5,820",,,,
135,"1,053.9/sq mi","Grayson, GA / 2,665",,,,
136,"1,053.9/sq mi","Calhoun, GA / 15,837",,,,
137,"1,051.4/sq mi","Cornelia, GA / 4,187",,,,
138,"1,048.2/sq mi","Union City, GA / 20,200",,,,
139,"1,046.4/sq mi","Rincon, GA / 9,273",,,,
140,"1,046.3/sq mi","Oxford, GA / 2,273",,,,
141,"1,045.4/sq mi","Nashville, GA / 4,918",,,,
142,"1,039.5/sq mi","Dublin, GA / 16,200",,,,
143,"1,036.5/sq mi","Warrenton, GA / 1,994",,,,
144,"1,033.0/sq mi","Isle Of Hope, GA / 2,355",,,,
145,"1,032.8/sq mi","Cochran, GA / 4,917",,,,
146,"1,031.5/sq mi","Gainesville, GA / 34,938",,,,
147,"1,031.3/sq mi","Wrightsville, GA / 3,717",,,,
148,"1,021.7/sq mi","Springfield, GA / 2,818",,,,
149,"1,018.4/sq mi","Aragon, GA / 1,164",,,,
150,"1,010.3/sq mi","Sunnyside, GA / 1,453",,,,
151,"1,005.4/sq mi","Fitzgerald, GA / 9,054",,,,
152,"1,003.1/sq mi","Athens-Clarke County Unified Government, GA / 118,514",,,,
153,997.1/sq mi,"Alto, GA / 1,103",,,,
154,995.5/sq mi,"Eastman, GA / 5,442",,,,
155,995.2/sq mi,"Sylvester, GA / 6,180",,,,
156,992.7/sq mi,"Cairo, GA / 9,750",,,,
157,991.5/sq mi,"Villa Rica, GA / 14,266",,,,
158,990.1/sq mi,"Kings Bay Base, GA / 1,905",,,,
159,988.6/sq mi,"Mountain Park, GA / 529",,,,
160,983.3/sq mi,"Fairview, GA / 7,381",,,,
161,979.3/sq mi,"Indian Springs, GA / 2,529",,,,
162,978.6/sq mi,"Young Harris, GA / 1,040",,,,
163,953.3/sq mi,"Pelham, GA / 3,887",,,,
164,952.4/sq mi,"Tybee Island, GA / 3,049",,,,
165,939.8/sq mi,"Elberton, GA / 4,494",,,,
166,939.1/sq mi,"Cleveland, GA / 3,624",,,,
167,934.7/sq mi,"Flowery Branch, GA / 6,012",,,,
168,934.6/sq mi,"Dacula, GA / 4,664",,,,
169,932.1/sq mi,"Henderson, GA / 1,704",,,,
170,931.1/sq mi,"Thomaston, GA / 9,068",,,,
171,931.0/sq mi,"Hiram, GA / 3,628",,,,
172,929.4/sq mi,"Abbeville, GA / 2,874",,,,
173,918.0/sq mi,"Quitman, GA / 3,808",,,,
174,916.3/sq mi,"Milledgeville, GA / 18,840",,,,
175,911.1/sq mi,"Hannahs Mill, GA / 3,975",,,,
176,904.0/sq mi,"Cumming, GA / 5,538",,,,
177,897.0/sq mi,"Columbus, GA / 198,247",,,,
178,896.8/sq mi,"Nelson, GA / 1,306",,,,
179,890.9/sq mi,"Milton, GA / 34,874",,,,
